strain,time,subgroup
leaf_0,219.369483781812,A
leaf_1,213.344516450534,B
leaf_2,202.361375643836,B
leaf_3,192.670816794253,B
leaf_4,191.955436890523,C
leaf_5,189.711053244738,B
leaf_6,189.185409916657,B
leaf_7,189.029457395178,C
leaf_8,187.69732435492,B
leaf_9,184.037567003645,C
leaf_10,183.851188511468,B
leaf_11,181.035794437033,C
leaf_12,177.274819691639,A
leaf_13,174.991863892405,B
leaf_14,173.637358954095,B
leaf_15,173.518240480275,C
leaf_16,172.731507975058,B
leaf_17,172.34666749831,B
leaf_18,171.558342742659,B
leaf_19,170.302490135018,B
leaf_20,168.718322480631,A
leaf_21,168.204407700465,B
leaf_22,167.832932051671,B
leaf_23,166.595013715626,C
leaf_24,164.864813270796,B
leaf_25,164.641443690899,A
leaf_26,164.294756388429,B
leaf_27,159.837638802801,B
leaf_28,156.912933896799,C
leaf_29,155.817690751001,C
leaf_30,153.518329271704,B
leaf_31,153.110971028533,C
leaf_32,153.081473011238,B
leaf_33,151.566798934819,B
leaf_34,151.566185482168,B
leaf_35,151.407956436939,C
leaf_36,150.875487891084,A
leaf_37,150.54460866182,A
leaf_38,150.336909367779,B
leaf_39,144.640048216733,C
leaf_40,143.323069395822,B
leaf_41,141.52389190415,B
leaf_42,140.791103573791,A
leaf_43,138.828711214768,A
leaf_44,138.119108918508,C
leaf_45,137.757854423867,C
leaf_46,137.354476046947,C
leaf_47,136.859973986565,A
leaf_48,135.541876285718,B
leaf_49,135.474943422056,A
leaf_50,134.52621084572,C
leaf_51,130.335058260029,A
leaf_52,128.133115592648,C
leaf_53,126.562176269245,C
leaf_54,123.101114543691,A
leaf_55,122.988480154903,C
leaf_56,121.852024248483,C
leaf_57,116.944315560999,C
leaf_58,116.389659196088,A
leaf_59,113.667543491973,A
leaf_60,113.64150534906,B
leaf_61,108.990429600626,A
leaf_62,108.826853794524,B
leaf_63,104.55215529794,A
leaf_64,92.979019859567,C
leaf_65,87.0251142496733,C
leaf_66,84.9159509453755,C
leaf_67,83.6204902867259,C
leaf_68,83.5020460960015,A
leaf_69,47.6453449172609,B
leaf_70,42.2479084488067,C
leaf_71,37.813859264997,C
leaf_72,34.4377854335363,C
